Google Place Name,Google Address,Google Place ID,ArcGIS Best Match,Match Score,Matched Street Name
Total Wine & More,"4320 SUMMIT PLAZA DR #5, LOUISVILLE, KY 40241, USA",ChIJjxkPgHGeaYgRIsB_wQz1Z4k,"4320 SUMMIT PLAZA DR, LOUISVILLE, KY 40241",76,"4320 SUMMIT PLAZA DR, LOUISVILLE, KY 40241"
Kroger,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYZpYN26eaYgRL7TNvs_JG0M,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Thorntons,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJH-Dr4HueaYgRxAbhKG_20yY,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241",78,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241"
Speedway,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJRQFvKG6eaYgRXDVloJW8kvg,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241"
Circle K,"8001 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJb4_ndiCeaYgRQoVf0sbVR6A,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241",75,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241"
Circle K,"8001 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYzpMcSCeaYgRYKnFBLMgnwE,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241",75,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241"
Walgreens,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJyZepOXmeaYgRbmUDpCbMfsg,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Liquor World #6,"3303 BARBOUR LN, LOUISVILLE, KY 40241, USA",ChIJL_uNdyCeaYgRYSOupLk4G_o,"3303 BARBOUR LN, BARBOURMEADE, KY 40241",72,"3303 BARBOUR LN, BARBOURMEADE, KY 40241"
Walgreens Pharmacy,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJteCfOXmeaYgRBX7OfAxLmXA,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Kroger Pharmacy,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYZpYN26eaYgR2nNhzcozkT0,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Norton Children's Medical Center - Pharmacy - Brownsboro,"4910 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJB9-dqgefaYgR5AO16ZAWFP8,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241",72,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241"
COVID-19 Drive-Thru Testing at Walgreens,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJP_J0krWfaYgRKee-nlARuhE,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Pendulum Smoke Shop,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241, USA",ChIJ0UH-K5OfaYgRDHwIbE-38aA,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241",79,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241"
INFINITY SMOKE OUTLET,"3707 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJf19rWWKfaYgRf1pL27Cuv7Y,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",74,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
Puff & Stuff,"4102 MURPHY LN, LOUISVILLE, KY 40241, USA",ChIJ3bQSFLueaYgRE9JdYYFh57c,"4102 MURPHY LN, LOUISVILLE, KY 40241",74,"4102 MURPHY LN, LOUISVILLE, KY 40241"
Cloud 9 Smoke Shop 2,"10511 FISCHER PARK DR, LOUISVILLE, KY 40241, USA",ChIJOTRpeBCfaYgR5JznDUKb1Dg,"10511 FISCHER PARK DR, 40241",100,"10511 FISCHER PARK DR, 40241"
LIQUOR PALATE,"3707 CHAMBERLAIN LN SUITE 101, LOUISVILLE, KY 40241, USA",ChIJkbzrOVGfaYgRHgTP_v90JKA,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",85,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
Liquor Barn,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJrTdDvoyeaYgRWSEtK8Ri4zQ,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",79,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Speedway,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJ08hbw3-eaYgRYvym94bMjgg,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241",78,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241"
Thorntons,"10320 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJu0waoPWeaYgRrAy0-hleI4M,"10320 WESTPORT RD, LOUISVILLE, KY 40241",77,"10320 WESTPORT RD, LOUISVILLE, KY 40241"
