Google Place Name,Google Address,Google Place ID,lat,long,ArcGIS Best Match,Match Score,Matched Street Name
Total Wine & More,"4320 SUMMIT PLAZA DR #5, LOUISVILLE, KY 40241, USA",ChIJjxkPgHGeaYgRIsB_wQz1Z4k,38.309721,-85.57661949999999,"4320 SUMMIT PLAZA DR, LOUISVILLE, KY 40241",76,"4320 SUMMIT PLAZA DR, LOUISVILLE, KY 40241"
Thorntons,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJH-Dr4HueaYgRxAbhKG_20yY,38.31174,-85.5675,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241",78,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241"
Circle K,"8001 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJb4_ndiCeaYgRQoVf0sbVR6A,38.295863499999996,-85.60210640000001,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241",75,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241"
Speedway,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJRQFvKG6eaYgRXDVloJW8kvg,38.3068819,-85.57474309999999,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241"
Circle K,"8001 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYzpMcSCeaYgRYKnFBLMgnwE,38.2960092,-85.6020834,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241",75,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241"
Walgreens,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJyZepOXmeaYgRbmUDpCbMfsg,38.3134252,-85.5673025,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Kroger,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYZpYN26eaYgRL7TNvs_JG0M,38.3054547,-85.5750257,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Liquor World #6,"3303 BARBOUR LN, LOUISVILLE, KY 40241, USA",ChIJL_uNdyCeaYgRYSOupLk4G_o,38.296214299999995,-85.6023149,"3303 BARBOUR LN, BARBOURMEADE, KY 40241",72,"3303 BARBOUR LN, BARBOURMEADE, KY 40241"
Walgreens Pharmacy,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJteCfOXmeaYgRBX7OfAxLmXA,38.3134003,-85.5672948,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Kroger Pharmacy,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYZpYN26eaYgR2nNhzcozkT0,38.305450799999996,-85.5749479,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Norton Children's Medical Center - Pharmacy - Brownsboro,"4910 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJB9-dqgefaYgR5AO16ZAWFP8,38.3155219,-85.56982409999999,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241",72,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241"
COVID-19 Drive-Thru Testing at Walgreens,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJP_J0krWfaYgRKee-nlARuhE,38.3136022,-85.5672278,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
