Place ID,Place Name,Address,Latitude,Longitude,Closest ArcGIS Match,Closest Match Score,Keywords
ChIJZUoSJzx2aYgRfGqtoNixoh4,prospect point,"PROSPECT, KY 40059, USA",38.343737,-85.61769389999999,"9109 U S HIGHWAY 42, PROSPECT, KY 40059",66,convenience store
ChIJP41X_E-daYgR3Jp-bI67LyY,CBD Pure Hemp Oil,"9535 US-42, PROSPECT, KY 40059, USA",38.3445078,-85.61743880000002,"9521 U S HIGHWAY 42, B, PROSPECT, KY 40059",47,"pharmacy, cbd"
ChIJEwwqmwGdaYgR6Yb0XcxHXGM,TJ's Smoke Outlet,"13206 W U.S. HWY 42 SUITE 101, PROSPECT, KY 40059, USA",38.3643615,-85.6017998,"10306 U S HIGHWAY 42, LOUISVILLE, KY 40059",68,"tobacco, vape, cbd"
ChIJ063jq9V3aYgRqhUhZOxxDYw,Prospect Liquors,"13306 W HWY 42 SUITE 108, PROSPECT, KY 40059, USA",38.3636796,-85.6046252,"10306 U S HIGHWAY 42, LOUISVILLE, KY 40059",66,liquor store
ChIJT6wPzPR3aYgRG2COyOqDgug,Buzz World,"13206 US-42 #111, PROSPECT, KY 40059, USA",38.3647691,-85.6012307,"10306 U S HIGHWAY 42, LOUISVILLE, KY 40059",52,liquor store
ChIJAQRYJXydaYgRaWxxPkhcpkA,Goshen Animal Clinic,"13108 W U.S. HWY 42, PROSPECT, KY 40059, USA",38.3664622,-85.5984337,"10306 U S HIGHWAY 42, LOUISVILLE, KY 40059",62,pharmacy
ChIJN5KnzXGeaYgRM4UpnGxaJs0,The UPS Store,"9462 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",38.3058965,-85.57442549999999,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",71,convenience store
ChIJq5MFzXGeaYgRhWk6MOFIcmc,GNC,"9472 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",38.305991,-85.5741197,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",71,"convenience store, pharmacy"
ChIJHf64d2CeaYgRwxj5EuXl9EE,Panera Bread,"10451 CHAMPION FARMS DR, LOUISVILLE, KY 40241, USA",38.296173,-85.560786,"10511 FISCHER PARK DR, 40241",61,convenience store
ChIJQ7a5qX-eaYgRD0S2iL_WuUc,Dunkin',"9913 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",38.3149885,-85.5637648,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",71,convenience store
ChIJAbQX03GfaYgRlfZw_cDMrZc,Public Storage,"3913 ACCOMACK DR, LOUISVILLE, KY 40241, USA",38.3023017,-85.5390572,"3501 3501 COLLEGE DR DR, 40299",51,convenience store
ChIJVc5dD5SeaYgRwkfVpbZi-4o,Walmart Pharmacy,"3706 DIANN MARIE RD, LOUISVILLE, KY 40241, USA",38.300831,-85.545152,"13702 LA GRANGE RD, LOUISVILLE, KY 40245",57,pharmacy
ChIJ5wKSb4qeaYgRxCJ0g72yBjY,Rainbow Blossom Springhurst Wellness Center,"3608 SPRINGHURST BLVD, LOUISVILLE, KY 40241, USA",38.2998668,-85.56071170000001,"2500 TERRA CROSSING BLVD, LOUISVILLE, KY 40245",54,cbd
ChIJTdbtELOeaYgRwlTmEPtGlgs,The H.T. Hackney Co.,"4015 COLLINS LN, LOUISVILLE, KY 40245, USA",38.301675,-85.521746,"14010 SHELBYVILLE RD, 40245",55,tobacco
ChIJSaA4jACcaYgRfEwbyTNlgig,Marathon Gas (A one Food Mart),"8901 W STATE HWY 22, CRESTWOOD, KY 40014, USA",38.3191876,-85.5211205,"2204 HEATHER LN, 40218",57,"gas station, convenience store"
ChIJXZJyJACZaYgRlqvEosy4URw,Kroger Wine and Spirits,"12440 KY-146, LOUISVILLE, KY 40245, USA",38.2920817,-85.509461,"14010 SHELBYVILLE RD, 40245",55,liquor store
ChIJ5e5wD-dtaYgRbMPlPlcu1XQ,Kentucky Smokes,"527 N 22ND ST, LOUISVILLE, KY 40203, USA",38.2675234,-85.7828016,"521 N 22ND ST, LOUISVILLE, KY 40203",69,"tobacco, vape, cbd"
ChIJ00-FutttaYgRhq2k78U2xFQ,Sam's Food Mart,"2749 BANK ST, LOUISVILLE, KY 40212, USA",38.2709989,-85.79504759999999,"2901 BANK ST, LOUISVILLE, KY 40212",64,convenience store
ChIJU0hKWWxtaYgRJSSzgq67pBE,Family Health Centers - Portland Pharmacy,"2215 PORTLAND AVE, LOUISVILLE, KY 40212, USA",38.2704958,-85.7843237,"2620 PORTLAND AVE, LOUISVILLE, KY 40212",70,pharmacy
ChIJ01UKx3FzaYgRR9NodtnIFDw,Louisville VA Medical Center,"800 ZORN AVE, LOUISVILLE, KY 40206, USA",38.2702857,-85.69695349999999,"8605 SMYRNA RD, 40228",53,pharmacy
ChIJo3FTRpF0aYgRItPAKOc46Ok,Sutherland Hardware & Mercantile,"3620 BROWNSBORO RD, LOUISVILLE, KY 40207, USA",38.2638036,-85.67016860000001,"3805 BROWNSBORO RD, INDIAN HILLS, KY 40207",69,"gas station, convenience store"
ChIJZaKhfGB1aYgRXfYoCE3ofUU,Hemptopia,"1901 RUDY LN STE 2, LOUISVILLE, KY 40207, USA",38.27988930000001,-85.63875999999999,"1901 RUDY LN, LOUISVILLE, KY 40207",64,cbd
ChIJVRorunB1aYgRB6VYdTFgm_g,Speedway,"1415 LYNDON LN, LOUISVILLE, KY 40222, USA",38.2709704,-85.6137821,"1415 LYNDON LN, GRAYMOOR/DEVONDALE, KY 40222",65,"gas station, convenience store"
ChIJf4mTgaZ1aYgRK989f1e_xtQ,Holiday Manor Shopping Center,"4943 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",38.2832816,-85.6312094,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",71,convenience store
ChIJazXWpuV1aYgRDi2ia3qT6Dw,Golden Keep Game Co.,"1201 HERR LN STE. 180C, LOUISVILLE, KY 40222, USA",38.2674961,-85.61236679999999,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",69,convenience store
ChIJD0Fb3BN1aYgRZJM4yc39l_Y,CVS Pharmacy,"2311 LIME KILN CT, LOUISVILLE, KY 40222, USA",38.2844599,-85.627833,"2121 CRUMS LN, SHIVELY, KY 40216",60,pharmacy
ChIJR7C_DXB1aYgRwx-GFRJM5tc,Closets by Design - Louisville,"1301 HERR LN SUITE 105, LOUISVILLE, KY 40222, USA",38.2682084,-85.61327059999999,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",68,cbd
ChIJp6f2BzKeaYgRLfA-yI2hiPk,Valvoline Instant Oil Change,"8701 WESTPORT RD, GRAYMOOR-DEVONDALE, KY 40222, USA",38.2808894,-85.5920525,"1415 LYNDON LN, GRAYMOOR/DEVONDALE, KY 40222",67,convenience store
ChIJaV_kWdt0aYgRZZ0v9uJXyF0,St. Matthews Community Pharmacy,"200 N HURSTBOURNE PKWY STE 174, LOUISVILLE, KY 40222, USA",38.2497303,-85.5801704,"1330 S HURSTBOURNE PKY, HURSTBOURNE, KY 40222",71,pharmacy
ChIJ0ara_kafaYgRFakhnBC_TL8,M. Joseph Medical,"11900 BRINLEY AVE # 200, LOUISVILLE, KY 40243, USA",38.2499926,-85.53299539999999,"2200 BUECHEL AVE, 101, LOUISVILLE, KY 40218",57,pharmacy
ChIJBQ5RrjCZaYgRlWanKriVgNg,Kroger Fuel Center,"13003 FACTORY LN, LOUISVILLE, KY 40245, USA",38.2886355,-85.50991400000001,"13003 FACTORY LN, FUEL, LOUISVILLE, KY 40245",70,"gas station, convenience store"
ChIJW3CMFxyZaYgRHrmj6Xe3Q3o,Thorntons Store Support Center,"2600 JAMES THORNTON WY, LOUISVILLE, KY 40245, USA",38.275603,-85.4939639,"2803 PATTI LN, JEFFERSONTOWN, KY 40299",53,"gas station, convenience store"
ChIJU7DFNraYaYgRiWqz8qbEq0A,English Station Mini Storage,"508 N ENGLISH STATION RD, LOUISVILLE, KY 40223, USA",38.2508036,-85.5130777,"9814 LINN STATION RD, JEFFERSONTOWN, KY 40223",66,convenience store
ChIJ2Y7SVdaYaYgRAZDjmQ1Cufs,Accredo Health Services,"2115 STANLEY GAULT PKWY # 150, LOUISVILLE, KY 40223, USA",38.2706753,-85.51258539999999,"1025 W BROADWAY, LOUISVILLE, KY 40203",53,pharmacy
ChIJ0XB3-85saYgRC3GU7uqAyCM,Broadway Food Mart,"4134 W BROADWAY, LOUISVILLE, KY 40211, USA",38.2500656,-85.8209504,"4132 W BROADWAY, LOUISVILLE, KY 40211",71,convenience store
ChIJ1xg-Mi1taYgRtwLKdbglujA,Family Dollar,"3417 W BROADWAY, LOUISVILLE, KY 40211, USA",38.2503217,-85.8094184,"3410 W BROADWAY, LOUISVILLE, KY 40211",71,convenience store
ChIJ20BiIcxtaYgR3Izv2kSq6b8,Lucy Mae's Food Mart & Kitchen,"2300 W KENTUCKY ST SUITE 1, LOUISVILLE, KY 40210, USA",38.2421669,-85.79200449999999,"2127 W KENTUCKY ST, LOUISVILLE, KY 40210",69,convenience store
ChIJVVWFSUhtaYgRX2Kw7tGlPIg,Kcs2Plus Qs,"2001 W BROADWAY # 13, LOUISVILLE, KY 40203, USA",38.249411,-85.7857855,"1001 W BROADWAY, LOUISVILLE, KY 40203",71,convenience store
ChIJK_2erDdtaYgRBzT-nD289Dc,Genoa Healthcare,"2225 W BROADWAY 1ST FLOOR, LOUISVILLE, KY 40211, USA",38.2495371,-85.7894482,"2324 W BROADWAY, LOUISVILLE, KY 40211",67,pharmacy
ChIJw75SHr9yaYgRO_eaIu26Fe8,Waterfront Bourbon Wine & Spirits,"ENTRANCE ON FLOYD, 222 E WITHERSPOON ST, LOUISVILLE, KY 40202, USA",38.25733880000001,-85.7477468,"209 E MAIN ST, SUITE 200, 40202",55,liquor store
ChIJU5kBR65yaYgRY_V2mDQ9SW8,Theater Square Wine and Spirits,"651 B, S 4TH ST, LOUISVILLE, KY 40202, USA",38.2471708,-85.7577874,"531 S 4TH ST, LOUISVILLE, KY 40202",69,liquor store
ChIJYcNaNa1zaYgRwf9dxSkgCfo,Justins' House of Bourbon,"101 W MARKET ST, LOUISVILLE, KY 40202, USA",38.2548722,-85.7518855,"1631 W MARKET ST, LOUISVILLE, KY 40203",67,liquor store
ChIJlzb4QQBzaYgRigiiYFuxYVU,BottleShopAndTastingRoom,"207 S PRESTON ST, LOUISVILLE, KY 40202, USA",38.2536279,-85.74593449999999,"339 S PRESTON ST, LOUISVILLE, KY 40202",66,liquor store
ChIJieVQjq9yaYgRFLmzZjHstdM,Community Pharmacy,"532 S 4TH ST, LOUISVILLE, KY 40202, USA",38.2501369,-85.7579792,"531 S 4TH ST, LOUISVILLE, KY 40202",68,pharmacy
ChIJ97Io1rZyaYgR620FQyNtXeg,Norton Pharmacy - Downtown,"200 E CHESTNUT ST LEVEL 2, LOUISVILLE, KY 40202, USA",38.248024400000006,-85.75104189999999,"312 W CHESTNUT ST, LOUISVILLE, KY 40202",71,pharmacy
ChIJfSVxQ6lyaYgRcvPaCrYG7uo,Aluvalife Rx,"812 S 3RD ST, LOUISVILLE, KY 40203, USA",38.243678,-85.757558,"519 S 3RD ST, LOUISVILLE, KY 40202",60,pharmacy
ChIJr4koa1hzaYgRpwvaTVD6Qws,CVS Pharmacy,"400 E BROADWAY, LOUISVILLE, KY 40202, USA",38.245011,-85.7474197,"100 W BROADWAY, LOUISVILLE, KY 40202",70,pharmacy
ChIJnwn65B9zaYgRaFNCHwjpHpU,Louisville Online Vape & CBD Store,"500 W JEFFERSON ST 30TH FL-STE 3007, LOUISVILLE, KY 40202, USA",38.2537578,-85.7592147,"1407 W JEFFERSON ST, LOUISVILLE, KY 40203",60,"vape, cbd"
ChIJa843F91NaIgRsdisJGsa740,"Green Remedy, Inc.","1000 ZANE ST, LOUISVILLE, KY 40210, USA",38.2385108,-85.76994859999999,"209 E MAIN ST, SUITE 200, 40202",55,cbd
ChIJmQYCol5zaYgRJzvzXFR_Vdo,Taste Fine Wines and Bourbons,"634 E MARKET ST, LOUISVILLE, KY 40202, USA",38.2532872,-85.7405198,"434 W MARKET ST, BLDG, LOUISVILLE, KY 40202",66,liquor store
ChIJ29Z7V9pzaYgRPJYdL5Rpl-c,Bourbon Country Cannabis - Nulu,"819 E MARKET ST SUITE 101, LOUISVILLE, KY 40206, USA",38.2532569,-85.7371598,"819 E MARKET ST, 101, LOUISVILLE, KY 40206",71,"vape, cbd"
ChIJaxQHWM9zaYgRaH_AjcPAA1M,Kentucky Cannabis Clinic | Medical Marijuana Doctor,"965 BAXTER AVE, LOUISVILLE, KY 40204, USA",38.2408818,-85.72449780000001,"916 BAXTER AVE, LOUISVILLE, KY 40204",70,vape
ChIJp7038T9zaYgRnZ5PNlRXyD4,Dollar General,"2106 BROWNSBORO RD, N CLIFTON AVE, LOUISVILLE, KY 40206, USA",38.2583921,-85.7054678,"2106 BROWNSBORO RD, LOUISVILLE, KY 40206",71,convenience store
ChIJv69_pRZzaYgRzLQnD-HUOY0,The Shop: Craft Beer Bar + Bottle Shop,"2708 FRANKFORT AVE, LOUISVILLE, KY 40206, USA",38.2543113,-85.6935022,"2347 FRANKFORT AVE, LOUISVILLE, KY 40206",71,liquor store
ChIJbzMNxsB0aYgRUHeVOPa_vpY,Chenoweth Animal Hospital,"3624 FRANKFORT AVE, LOUISVILLE, KY 40207, USA",38.253341,-85.6625577,"3420 FRANKFORT AVE, ST MATTHEWS, KY 40207",70,pharmacy
ChIJ0ZyedsR0aYgR_trIE1x7Gl0,St Matthews Mini Mart,"316 WALLACE AVE, ST MATTHEWS, KY 40207, USA",38.2520043,-85.6575852,"314 WALLACE AVE, ST MATTHEWS, KY 40207",70,"gas station, convenience store"
ChIJgYoaKhl1aYgRRd3hZ3SQqUk,Kroger,"291 N HUBBARDS LN #130, ST MATTHEWS, KY 40207, USA",38.25834,-85.6367981,"291 N HUBBARDS LN, 130GROCERY, ST MATTHEWS, KY 40207",71,"liquor store, pharmacy"
ChIJgYoaKhl1aYgRy1_OixpQhqo,Kroger Pharmacy,"291 N HUBBARDS LN #130, ST MATTHEWS, KY 40207, USA",38.2584189,-85.63676520000001,"291 N HUBBARDS LN, 130GROCERY, ST MATTHEWS, KY 40207",71,pharmacy
ChIJB_UhcN90aYgRSFFVXdsxNyo,Walmart Pharmacy,"143 THIERMAN LN, ST MATTHEWS, KY 40207, USA",38.2536769,-85.64421600000001,"1901 RUDY LN, LOUISVILLE, KY 40207",53,pharmacy
ChIJB_UhcN90aYgRLlxsztEST2M,Walmart Neighborhood Market,"143 THIERMAN LN, ST MATTHEWS, KY 40207, USA",38.2536774,-85.6442166,"1901 RUDY LN, LOUISVILLE, KY 40207",53,pharmacy
ChIJYccXbzt1aYgR1jqNRK10aiU,Trader Joe's Wine,"4600 SHELBYVILLE RD STE 112 STE 112, LOUISVILLE, KY 40207, USA",38.2500677,-85.6313239,"4500 SHELBYVILLE RD, ST MATTHEWS, KY 40207",67,liquor store
ChIJn_wjnDZ1aYgRHvZU6-4Qf2Y,Bourbon Creek Louisville,"7900 SHELBYVILLE RD STE B05, LOUISVILLE, KY 40222, USA",38.2470462,-85.60991659999999,"14010 SHELBYVILLE RD, 40245",71,liquor store
ChIJeTZQ7xp1aYgRolWeIwUo51M,Prestige health,"8027 VINE CREST AVE, LYNDON, KY 40222, USA",38.2612743,-85.6070822,"8062 NEW LAGRANGE RD, 40222",63,"pharmacy, vape, cbd"
ChIJTbhK-BagaYgRl7sS7CI3n3A,Liquor Barn,"1850 S HURSTBOURNE PKWY, LOUISVILLE, KY 40220, USA",38.220482,-85.5824701,"1925 S HURSTBOURNE PKY, FOREST HILLS, KY 40220",71,"tobacco, liquor store"
ChIJ6QuHthegaYgRnkMwmzjX3x0,Patel Brothers,"1850 S HURSTBOURNE PKWY SUITE 134 SUITE 134, LOUISVILLE, KY 40220, USA",38.22161,-85.58384,"2809 N HURSTBOURNE PKY, 101, LOUISVILLE, KY 40223",65,convenience store
ChIJexcSJW-haYgRU1JPVMsZFcI,OPMH Project,"9825 BLUEGRASS PKWY, LOUISVILLE, KY 40299, USA",38.2214681,-85.56950710000001,"9260 SMYRNA PKY, BLDG, 40229",59,vape
ChIJkzQsqGShaYgRauqDin5Twc4,Sam's Club Gas Station,"1401 ALLIANT AVE, JEFFERSONTOWN, KY 40299, USA",38.2228639,-85.53534540000001,"1401 LEXINGTON RD, LOUISVILLE, KY 40206",54,"gas station, convenience store"
ChIJB7Nx_umhaYgR6q_v7VGMcdw,Marathon,"11550 BLUEGRASS PKWY, LOUISVILLE, JEFFERSONTOWN, KY 40299, USA",38.2165889,-85.5405109,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",68,"gas station, convenience store"
ChIJ-SGgTbahaYgR49l1ODD6pSw,Key Stone Fuel Station,"10921 PLANTSIDE DR, LOUISVILLE, KY 40299, USA",38.2095485,-85.55351399999999,"4129 FLINTLOCK DR, LOUISVILLE, KY 40216",56,gas station
ChIJo7ms8-mhaYgRtKxWJFJmXNU,McDonald's,"11600 BLUEGRASS PKWY, JEFFERSONTOWN, KY 40299, USA",38.2165408,-85.53966609999999,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",68,convenience store
ChIJgaMhut-haYgRekk5cZwKo3Q,Heine Brothers Coffee - Blankenbaker,"805 BLANKENBAKER PKWY, LOUISVILLE, KY 40243, USA",38.2306387,-85.54102569999999,"1804 BLANKENBAKER PKY, JEFFERSONTOWN, KY 40299",59,convenience store
ChIJZftGmeWhaYgRiAH04lx6pHM,Sam's Club,"1401 ALLIANT AVE, JEFFERSONTOWN, KY 40299, USA",38.222686,-85.53330199999999,"1401 LEXINGTON RD, LOUISVILLE, KY 40206",54,liquor store
ChIJ7-v_VNuhaYgRyq0aQCfXqc4,Option Care Health,"11403 BLUEGRASS PKWY #400, LOUISVILLE, KY 40299, USA",38.2219176,-85.5458179,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",64,pharmacy
ChIJIZPWkbyhaYgRYLt_X2HgBck,Chewy Pharmacy,"11403 BLUEGRASS PKWY, JEFFERSONTOWN, KY 40299, USA",38.22200610000001,-85.5457021,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",68,pharmacy
ChIJKfbANjKhaYgRQfMWf7PEg9g,Synchrony Rx@Home,"2703 CHESTNUT STATION COURT, LOUISVILLE, KY 40299, USA",38.2076677,-85.53216479999999,"2600 W CHESTNUT ST, LOUISVILLE, KY 40211",59,pharmacy
ChIJ5XdqRhGfaYgRSs5DY9YSYE8,502 Hemp Wellness Center,"201 MOSER RD SUITE B, LOUISVILLE, KY 40223, USA",38.2443436,-85.5591395,"209 E MAIN ST, SUITE 200, 40202",62,cbd
ChIJY7JNzeGhaYgRo1i94xO3ToY,CRUSHglobal,"2195 WATTERSON TRAIL, JEFFERSONTOWN, KY 40299, USA",38.212908,-85.5579425,"10525 WATTERSON TRL, JEFFERSONTOWN, KY 40299",65,cbd
ChIJZQ2HZQmYaYgRhLPORzOktso,United States Postal Service,"16207 EASTWOOD CUT OFF RD, EASTWOOD, KY 40018, USA",38.2322041,-85.4523904,"4109 BARDSTOWN RD, 103, LOUISVILLE, KY 40218",50,convenience store
ChIJS_wPo9gSaYgRLEjI2Mv0GDI,Park Duvalle Community Health Center Inc,"3015 WILSON AVE, LOUISVILLE, KY 40211, USA",38.227494,-85.80742029999999,"2930 WILSON AVE, LOUISVILLE, KY 40211",68,pharmacy
ChIJLRGyPrISaYgRJ3jwpQ_r_HA,Oakwood Liquor,"1502 W OAK ST, LOUISVILLE, KY 40210, USA",38.2365866,-85.7790175,"1500 W OAK ST, LOUISVILLE, KY 40210",69,liquor store
ChIJRSyKV2kNaYgR3umXQr16CUA,Stop N Go Smokes & Liquor,"427 WARNOCK ST, LOUISVILLE, KY 40217, USA",38.2145808,-85.75122859999999,"796 EASTERN PKY, LOUISVILLE, KY 40217",51,"tobacco, convenience store, liquor store, vape"
ChIJE_lv0PUNaYgRmYnEm8Ukb3E,Blaze Smoke Shop,"2221 CRITTENDEN DR, LOUISVILLE, KY 40217, USA",38.2145996,-85.7507722,"2704 CRITTENDEN DR, LOUISVILLE, KY 40209",61,"tobacco, vape"
ChIJ2aNneFINaYgRQUYZmjxtbtU,Abraha Food & Tobacco Mart,"1101 S 2ND ST, LOUISVILLE, KY 40203, USA",38.2368803,-85.7563054,"1397 S 2ND ST, LOUISVILLE, KY 40208",58,tobacco
ChIJS6eKlW4LaYgRfpwYkR6Wkhk,Elevated 502,"1157 S 2ND ST, LOUISVILLE, KY 40203, USA",38.2349291,-85.756821,"1397 S 2ND ST, LOUISVILLE, KY 40208",62,"tobacco, vape"
ChIJPUrHCwwNaYgR5HDixTw3PuA,Organic Cures,"329 W OAK ST, LOUISVILLE, KY 40208, USA",38.235099,-85.7599504,"325 W MAIN ST, LOUISVILLE, KY 40202",59,cbd
ChIJh5GcSWwNaYgRBD-ly_vQ8y4,Medical Arts Pharmacy,"1169 EASTERN PKWY STE 1110, LOUISVILLE, KY 40217, USA",38.2258653,-85.72551659999999,"796 EASTERN PKY, LOUISVILLE, KY 40217",57,pharmacy
ChIJXUMnjHLpaIgR9l69cpEYc5g,Cap'n Dave's Wellness,"1105 MILTON ST, LOUISVILLE, KY 40217, USA",38.2235341,-85.73779019999999,"1805 W OAK ST, LOUISVILLE, KY 40210",57,cbd
ChIJCx7PgKMNaYgRl5-DW-BhQFo,Flourish Health and Wellness,"1001 LOGAN ST, LOUISVILLE, KY 40204, USA",38.2356417,-85.73943489999999,"1004 E OAK ST, LOUISVILLE, KY 40204",62,cbd
ChIJnQvdBmYNaYgRtWadlMEh8mE,Full Stop Station,"1132 E ST CATHERINE ST, LOUISVILLE, KY 40204, USA",38.2342524,-85.73227709999999,"309 E ST CATHERINE ST, LOUISVILLE, KY 40203",70,cbd
ChIJU7e-HiNzaYgRbpguNG5hSxE,Vines Wine Bar & Spirit Shop,"1985 DOUGLASS BLVD, LOUISVILLE, KY 40205, USA",38.2244806,-85.69448059999999,"1871 BERRY BLVD, LOUISVILLE, KY 40215",54,liquor store
ChIJgSEb8BcLaYgRZaENL_-RLoU,Dollar General,"2817 DEL RIO PL, LOUISVILLE, KY 40220, USA",38.2147094,-85.65484599999999,"2817 DEL RIO PL, 101, LOUISVILLE, KY 40220",70,convenience store
ChIJ0158dyt1aYgRTNk-vJ7EPxM,Baptist Health Louisville Pharmacy,"4000 KRESGE WAY, ST MATTHEWS, KY 40207, USA",38.2372426,-85.6387925,"10986 DIXIE HWY, 40272",52,pharmacy
ChIJQQb7gtIKaYgR7qdLiAM7i9I,Louisville Compounding Pharmacy,"3930 DUPONT CIR APT 1, LOUISVILLE, KY 40207, USA",38.2313416,-85.6322744,"1029 BARDSTOWN RD, UNIT A, 40204",56,"pharmacy, cbd"
ChIJm7gqwIcNaYgRiPsf3XKs9No,Thorntons,"4500 S 3RD ST, LOUISVILLE, KY 40214, USA",38.1888989,-85.7656322,"4450 S 3RD ST, LOUISVILLE, KY 40214",69,"gas station, convenience store"
ChIJi2yW630NaYgRq_DKETdiook,Wagner's Pharmacy,"3113 S 4TH ST, LOUISVILLE, KY 40214, USA",38.2045247,-85.7655079,"3632 S 7TH STREET RD, BLDG, 40216",60,pharmacy
ChIJS1A8Lz8NaYgRoDU8xFnz_hU,Dollar Tree,"2929 PRESTON HWY, LOUISVILLE, KY 40217, USA",38.2072679,-85.73728679999999,"2911 PRESTON HWY, LOUISVILLE, KY 40217",69,convenience store
ChIJ85qhbRENaYgRz_jvhBRD72k,Liquor Island,"2703 PRESTON HWY, LOUISVILLE, KY 40217, USA",38.2112621,-85.7399212,"2703 PRESTON HWY, PARKWAY VILLAGE, KY 40217",70,"convenience store, liquor store"
ChIJv2NBk4sMaYgRkm7CrI-jz6M,New Vitalis Pharmacy,"4139 CADILLAC CT STE 201, LOUISVILLE, KY 40213, USA",38.2002811,-85.701351,"2701 S 4TH ST, LOUISVILLE, KY 40208",54,pharmacy
ChIJM9Zt0ZYLaYgR_-3IVfSBjSE,Hemp Vaping Adventure & smoke shop,"2140 OLD SHEPHERDSVILLE RD, LOUISVILLE, KY 40218, USA",38.1978111,-85.6611276,"7002 SHEPHERDSVILLE RD, LOUISVILLE, KY 40219",70,"tobacco, vape"
ChIJQYRe2QoLaYgRLN-8R-7xNPc,Kroger Fuel Center,"2000 HIKES LN, LOUISVILLE, KY 40218, USA",38.196906,-85.6626618,"2000 HIKES LN, WEST BUECHEL, KY 40218",70,gas station
ChIJWSNLDQsLaYgRVxjiEFnT1jQ,Walgreens Pharmacy,"2021 HIKES LN, LOUISVILLE, KY 40218, USA",38.1984158,-85.6620217,"2021 HIKES LN, WEST BUECHEL, KY 40218",70,pharmacy
ChIJE4fL63YLaYgROFMV-4T6Uds,CVS Pharmacy,"3600 MALL RD, LOUISVILLE, KY 40218, USA",38.1982926,-85.67125899999999,"3303 NEWBURG RD, 40218",62,pharmacy
ChIJDzZX5YALaYgRSJzaJTGVwgo,Omnicare Inc.,"4400 OLE BRICKYARD CIR, LOUISVILLE, KY 40218, USA",38.1919287,-85.68263739999999,"4700 BARDSTOWN RD, LOUISVILLE, KY 40218",58,pharmacy
ChIJwTQkDQsLaYgRWYqZK8DtsdI,Walgreens,"2021 HIKES LN, LOUISVILLE, KY 40218, USA",38.1984364,-85.6620444,"2021 HIKES LN, WEST BUECHEL, KY 40218",70,pharmacy
ChIJE4fL63YLaYgRIsVbYY4gXCs,Target,"3600 MALL RD, LOUISVILLE, KY 40218, USA",38.1982926,-85.67125899999999,"3303 NEWBURG RD, 40218",62,pharmacy
ChIJqwyh_gsLaYgR36-tUsVh6tA,AutoZone Auto Parts,"2231 HIKES LN, LOUISVILLE, KY 40218, USA",38.2007779,-85.6596268,"2204 HEATHER LN, 40218",70,gas station
ChIJaUMIleEKaYgRCPdvzrtTnAc,Wash N Shine,"2911 HIKES LN, LOUISVILLE, KY 40218, USA",38.2107685,-85.64206519999999,"2249 HIKES LN, LOUISVILLE, KY 40218",65,gas station
ChIJyYmMU-gLaYgRWD-OB5gUwmw,Chocolate And Nut Kingdom,"3731 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",38.1974767,-85.65650529999999,"3300 BARDSTOWN RD, LOUISVILLE, KY 40218",70,gas station
ChIJia7kXgoLaYgRObP8N3ltNQk,Rescue Rangers Towing & Roadside Services,"2026 OLD SHEPHERDSVILLE RD, LOUISVILLE, KY 40218, USA",38.1934213,-85.6602803,"7002 SHEPHERDSVILLE RD, LOUISVILLE, KY 40219",70,gas station
ChIJgSEb8BcLaYgRZaENL_-RLoU,Dollar General,"2817 DEL RIO PL, LOUISVILLE, KY 40220, USA",38.2147094,-85.65484599999999,"2817 DEL RIO PL, 101, LOUISVILLE, KY 40220",70,convenience store
