XMIN,YMIN,XMAX,YMAX
1239000,320300,1251000,335300
1239000,305300,1251000,320300
1251000,305300,1263000,320300
1263000,305300,1275000,320300
1227000,290300,1239000,305300
1239000,290300,1251000,305300
1251000,290300,1263000,305300
1263000,290300,1275000,305300
1275000,290300,1287000,305300
1179000,281300,1187000,290300
1187000,281300,1195000,290300
1195000,281300,1203000,290300
1203000,281300,1211000,290300
1211000,281300,1219000,290300
1219000,281300,1227000,290300
1227000,281300,1235000,290300
1235000,281300,1243000,290300
1243000,281300,1251000,290300
1251000,275300,1263000,290300
1263000,275300,1275000,290300
1275000,275300,1287000,290300
1287000,275300,1299000,290300
1299000,275300,1311000,290300
1179000,272300,1187000,281300
1187000,272300,1195000,281300
1195000,272300,1203000,281300
1203000,272300,1211000,281300
1211000,272300,1219000,281300
1219000,272300,1227000,281300
1227000,272300,1235000,281300
1235000,272300,1243000,281300
1243000,272300,1251000,281300
1167000,260300,1179000,275300
1251000,260300,1263000,275300
1263000,260300,1275000,275300
1275000,260300,1287000,275300
1287000,260300,1299000,275300
1299000,260300,1311000,275300
1179000,263300,1187000,272300
1187000,263300,1195000,272300
1195000,263300,1203000,272300
1203000,263300,1211000,272300
1211000,263300,1219000,272300
1219000,263300,1227000,272300
1227000,263300,1235000,272300
1235000,263300,1243000,272300
1243000,263300,1251000,272300
1179000,254300,1187000,263300
1187000,254300,1195000,263300
1195000,254300,1203000,263300
1203000,254300,1211000,263300
1211000,254300,1219000,263300
1219000,254300,1227000,263300
1227000,254300,1235000,263300
1235000,254300,1243000,263300
1243000,254300,1251000,263300
1155000,245300,1167000,260300
1167000,245300,1179000,260300
1251000,245300,1263000,260300
1263000,245300,1275000,260300
1275000,245300,1287000,260300
1287000,245300,1299000,260300
1299000,245300,1311000,260300
1179000,245300,1187000,254300
1187000,245300,1195000,254300
1195000,245300,1203000,254300
1203000,245300,1211000,254300
1211000,245300,1219000,254300
1219000,245300,1227000,254300
1227000,245300,1235000,254300
1235000,245300,1243000,254300
1243000,245300,1251000,254300
1155000,230300,1167000,245300
1167000,230300,1179000,245300
1179000,230300,1191000,245300
1191000,230300,1203000,245300
1203000,230300,1215000,245300
1215000,230300,1227000,245300
1227000,230300,1239000,245300
1239000,230300,1251000,245300
1251000,230300,1263000,245300
1263000,230300,1275000,245300
1275000,230300,1287000,245300
1287000,230300,1299000,245300
1299000,230300,1311000,245300
1155000,215300,1167000,230300
1167000,215300,1179000,230300
1179000,215300,1191000,230300
1191000,215300,1203000,230300
1203000,215300,1215000,230300
1215000,215300,1227000,230300
1227000,215300,1239000,230300
1239000,215300,1251000,230300
1251000,215300,1263000,230300
1263000,215300,1275000,230300
1275000,215300,1287000,230300
1287000,215300,1299000,230300
1299000,215300,1311000,230300
1155000,200300,1167000,215300
1167000,200300,1179000,215300
1179000,200300,1191000,215300
1191000,200300,1203000,215300
1203000,200300,1215000,215300
1227000,200300,1239000,215300
1239000,200300,1251000,215300
1251000,200300,1263000,215300
1263000,200300,1275000,215300
1143000,185300,1155000,200300
1155000,185300,1167000,200300
1167000,185300,1179000,200300
